patnum,ccmt_patent,patent_abstract
10000025,0,A composite laminate has a primary axis of loading and comprises a plurality resin plies each reinforced with unidirectional fibers. The laminate includes cross-plies with fiber orientations optimized to resist bending and torsional loads along the primary axis of loading.
10000026,0,A composite induction consolidation apparatus includes a base mandrel and a ferromagnetic base mandrel facesheet having a specific Curie temperature carried by the base mandrel. The base mandrel facesheet is adapted to support a composite part and allow ambient air pressure to compact the composite part against the base mandrel facesheet. At least one magnetic induction coil is provided in the base mandrel.
10000027,0,"A plant for reshaping plastic preforms into plastic containers, includes a heating device for heating the plastic preforms, and a device for reshaping the plastic preforms into the plastic containers, arranged downstream of the heating device in the transport direction of the plastic preforms, wherein the reshaping device includes a transport device, which transports the plastic preforms along a predefined transport path and wherein the transport device has a station carrier on which a multitude of reshaping stations are arranged, each having blow mold devices each arranged on blow mold carriers. The reshaping device includes a changing device, which is suited and intended for at least removing and/or attaching the blow mold devices to the blow mold carriers, wherein this changing device is further suited and intended for at least removing and/or attaching the changeable element to the heating device."
10000028,0,"A method of making a mechanical fastening net. The method includes providing a net having strands of polymer and open areas between the strands of polymer and molding a portion of the polymer in the strands of the net into upstanding posts to form the mechanical fastening net. A mechanical fastening net that includes a polymeric backing, a plurality of openings in the polymeric backing, and upstanding posts on at least one of the first or second major surface of the polymeric backing is also disclosed. The polymeric backing has a range of thicknesses ranging from minimum to maximum thickness, and for at least a portion of the polymeric backing, the minimum thickness of the polymeric backing is where it abuts one of the openings."
10000029,0,"A method of manufacturing a power transmission belt includes: molding and vulcanizing an endless tension member layer in which a cord extending in a belt length direction is embedded; molding and vulcanizing a rubber member for a compressed rubber layer; and bonding together the tension member layer that has been vulcanized and the rubber member, that has been vulcanized, for the compressed rubber layer."
10000030,0,A tire mold has a tire molding surface. The tire molding surface is pressed against an outer surface of an uncured tire. A vent hole is provided in the tire molding surface. A surface of an outer edge region surrounding an opening of the vent hole is formed by a smooth surface. The smooth surface is smoother than a surface in a peripheral region of the outer edge region.
10000031,0,"A method of manufacturing a honeycomb structure includes providing a honeycomb body having a first contour extending between opposing first and second ends and chamfering a corner of the first end in a radial and axial direction toward the first contour to form a second contour. The method further includes removing material in an axial direction toward the second face to form a third contour, chamfering a corner of the third contour in a radial and axial direction toward the second end to form an end contour, and removing material in an axial direction toward the first face to form a fourth contour. Removing material to form the fourth contour substantially removes the second contour and the end contour."
10000032,0,"A method and a press are proposed for an energy-efficient drive of a press (1) with a bottom drive, in which a drive device (2) disposed in a bottom section (3), a plunger (1.1) executing a stroke (H) and receiving an upper tool part (1.2) with at least one acting tie rod (2.1.2) of a drive train (2.1) are provided and the upper tool part (2.1) corresponding to a bottom tool part (3.2) disposed in the bottom section (3) machines or forms a work piece (5). The drive device (2) is operated by at least one motor (2.1.1) and by way of a control and regulation device (4) connecting the motor (2.1.1) and the drive train (2.1). Each drive train (2.1) can be operated by its own motor (2.1.1). When using a drawing device with a holder (3.3.1), it is operated in the change and during at least a partial path of the respective stroke (H) by the drive train (2.1) while observing a shaft-type free space (3.2) provided in the bottom section (3) in a coupled or decoupled manner by a releasable rotatory or translational active connection."
10000033,0,"Disclosed are embodiments of a versatile storage bag and methods of making same. The versatile storage bag may have first and second sidewalls, a double-locking closure mechanism with a first closure element extending along the first sidewall and a second closure element extending along the second sidewall, each closure element having a channel and an elongated member configured for interlocking with one another. A double-seal along three sides of the first sidewall and the second sidewall form a gusset between two seals, leaving an opening through the double-locking closure mechanism. Corner seals may be formed at the corners of the first and second sidewalls, further reinforcing the double-locking closure mechanism for an airtight and hence waterproof seal. The versatile storage bag may be made of a food-grade polyethylene vinyl acetate blend, approximately 90% or less ethylene vinyl acetate and approximately 10% or less polyethylene."
10000034,0,"The present patent application discloses an envelope making plate. The envelope making plate includes a plate body with a marking groove, a reference edge; and a scale line or an indication line corresponding to the type of the envelope. The plate body is divided into a working area and a non-working area by the reference edge. The envelope paper abuts against or aligns with the reference edge. One side of the envelope paper is the working area, and another side is the non-working area. The marking groove is set in the working area of the plate body and intersects with the reference edge or an extension line of the reference edge. The marking groove divides the reference edge or the extension line of the reference edge into an acute angle and an obtuse angle. The scale line or the indication line corresponding to the type of the envelope is set along the reference edge and on the side where the marking groove and the reference edge form the acute angle. A second indication line is set in the non-working area of the plate body and is perpendicular to the marking groove. An extension line or virtual extension line of the second indication line intersects with the marking groove within the working area of the plate body. It is easy to achieve a full utilization of the plate body's area when making the envelope by making the angle between the marking groove and the indication line being as an acute angle. It saves the materials of the plate body."
10000035,0,"A hose assembly, preferably a garden hose assembly, including a jacketed tube that is lightweight, durable and versatile. The tube is able to expand longitudinally along the length-wise axis of the hose between hose ends, as well as radially or circumferentially, to an expanded state in response to application of at least a minimum fluid pressure to an inner tube of the hose. Once the fluid pressure falls below the minimum fluid pressure, the hose assembly will contract. The two layer construction of the hose assembly allows for storage in relatively compact spaces, similar flow rates, approximately one-half the weight, and improved maneuverability when compared to conventional hose constructions. In one embodiment the jacket is formed around the tube in a continuous process that welds a material, preferably using hot air, into the jacket. The welded joint forms a region of jacket that is preferably about twice the thickness of the rest of the jacket. This thicker region results in a stiffer section of jacket that makes the hose more controllable and consistent in use."
10000036,0,"Boron nitride nanotubes (BNNTs), boron nitride nanoparticles (BNNPs), carbon nontubes (CNTs), graphites, or their combinations, are incorporated into matrices of polymer, ceramic or metals. Fibers, yarns, and woven or nonwoven mates of BNNTs are uses as toughening layers in penetration resistant materials to maximize energy absorption and/or high hardness layers to rebound or deform penetrators. They can be also uses as reinforcing inclusions combining with other polymer matrices to create composite layer like typical reinforcing fibers such as KevlarÂ®, SpectraÂ®, ceramics and metals. Enhanced wear resistance and prolonged usage time, even under harsh conditions, are achieved by adding boron nitride nanomaterials because both hardness and toughness are increased. Such materials can be used in high temperature environments since the oxidation temperature of BNNTs exceeds 800Â° C. in air. Boron nitride based composite materials are useful as strong structural materials for anti-micrometeorite layers for spacecraft and space suits, ultra strong tethers, protective gear for the human body as well as for vehicles, helmets, shields and safety suits/helmets for industry."
10000037,0,"The purpose of the present invention is to prevent an increase in reflectance and a decrease in transmittance, retain the intact instantaneousness and ease of stripping, improve the releasability of the adhesive, avoid the generation of distortion due to the thickness of the adhesive, and ensure the visibility, by laminating filmy members (10) each equipped with a moth-eye structure (12). This transparent laminate (1) comprises a plurality of filmy members (10) which each comprise a base (11) and, disposed on at least one surface thereof, a structure (12) made up of recesses and protrusions which have been regularly arranged at a pitch not longer than the wavelengths of visible light. At least the ends of the filmy members (10) have been superposed, with a pressure-sensitive adhesive layer (2) interposed therebetween. In the superposed filmy members (10), there is a space (14) between the opposed structures (12)."
10000038,0,"Provided is an alloy plate coated material including a base material, and an alloy plate layer which is formed on the base material to constitute an outermost layer and is formed from a M1-M2-M3 alloy (provided that M1 is at least one element selected from Ni, Fe, Co, Cu, Zn and Sn; M2 is at least one element selected from Pd, Re, Pt, Rh, Ag and Ru; and M3 is at least one element selected from P and B), in which the alloy plate layer has a molar ratio of M1 to M2 (M1/M2) of 0.005 to 0.5."
10000039,0,"A multilayer interlayer structure having a low Mw/high Tg layer and a high Mw layer, the interlayer having a high Eâ€² modulus and a higher Tg. The high Tg layer has a Tg of at least 50Â° C. and a weight average molecular weight of not more than 160,000. The high Mw layer has a molecular weight greater than 160,000. The interlayer structure has increased stiffness without having to increase its thickness, and has an increased Tg to enable the structure to be used in applications that require good modulus at outdoor temperatures."
10000040,0,"Floor panel of the type substantially consisting of a substrate and a top layer provided-thereon based on synthetic material. The top layer includes a printed decor and one or more material sheets provided with synthetic material. The floor panel also includes a balancing layer at the underside of the substrate, the balancing layer containing a synthetic material layer which is free from material sheets. Methods used to make the panels are disclosed."
10000041,0,"A method for making a decorative multilaminar veneer with accentuated curvilinear shapes consists of the steps of: obtaining sheets of wood from a log of wood or from a block of multilaminar wood; superimposing and permanently sticking the sheets of wood on top of one another to form a plurality of packets of sheets of wood; providing a plurality of male molds and at least one female countermold, wherein each male mold has a convex curvilinear profile with different curvature radiuses of one mold with respect to the other and wherein the female countermold has a concave curvilinear profile; arranging, pressing and permanently sticking together several packets, in sequence and superimposed, between the female countermold and in sequence the male molds to deform in a curvilinear manner the packets, replacing in sequence, upon the reaching of a preset height of the superimposed, joined and deformed packets a male mold with a profile with a greater curvature radius with a successive male mold with a profile with a lesser curvature radius; obtaining a sliceable block formed by said superimposing, joining and deforming of packets of the sheets of wood; slicing said block to obtain a decorative multilaminar veneer."
10000042,0,"The current disclosure relates to a polymeric laminate structure having an outer polystyrene film, either blown or cast, comprised of crystal polystyrene homopolymer, optionally blended with up to about 45 wt-% of high impact polystyrene and/or inorganic fillers."
10000043,0,Multilayer film comprising two thin layers D and E of a thermoplastic material bonded to one another by a continuous layer A that is a hot-melt pressure-sensitive adhesive composition:      
10000044,0,"Panel, particularly a panel used for making furnishings such as doors, boards, tables, furniture or the like, which panel on at least one face thereof has at least a three-dimensional structure and which panel is composed of a mechanically rigid base or supporting sheet and a coating sheet for giving the aesthetic appearance to said panel, said coating sheet being superposed on at least one face of the base sheet, wherein the compound of said coating sheet is composed of thermoplastic polymers mixed with a vegetable and/or mineral filler, which compound gives such flexibility properties to the coating sheet that said coating sheet can be wound on itself."
10000045,0,"A multilayered tube for transporting fuel including an innermost layer (A), an outermost layer (B) and an intermediate layer (C), characterized by that: the innermost layer (A) and the outermost layer (B) include a resin composition including 40 mass % or more of semi-aromatic polyamide; a flexural modulus of a material constituting the intermediate layer (C) measured according to ISO 178 is 800 MPa or less; and it is used in an environment in which both the innermost layer (A) and the outermost layer (B) are contacted with biodiesel fuel. In addition, a fuel pump module including the multilayered tube for transporting fuel and a method for using them."
10000046,0,"Methods of creating thick composite structures are provided. The methods may be applied to two or more prepreg structures of composite materials to form laminate structures that are thicker than approximately five (5) inches without excessive exothermic events resulting in inconsistent cure and high residual stresses. The method may include heating a first sheet to achieve a specified increase in resin viscosity. In response to achieving the specified resin viscosity, a second portion of composite material may be applied to the first portion. The assembly may be heated to create a laminate structure which is chemically bonded with no interface."
10000047,0,"The present invention provides a method for manufacturing a curved liquid crystal display panel, which comprises coating a sealing gum on a first or a second frame sealing region; filing liquid crystals between the two substrates and adhering the two substrates together; performing a first curing on partial sealing gum on a first set or a third set of frame bodies; bending the first set and the third set of frame bodies obtained after the first curing along the extension direction of the first set of frame bodies; performing a second curing on uncured sealing gum on the two bended substrates."
10000048,0,"A taping apparatus includes an elongate body portion having a moveable control member for controlling the advancement of tape and a head portion connected to the elongate body portion for advancing the tape. The head portion includes a first stop, a second stop, a guide extending from the first stop to the second stop, and a tape advance mechanism moveable along the guide. The tape advance mechanism and the control member are coupled to one another such that the tape advance mechanism is moveable in response to movement of the control member. The tape advance mechanism includes a rotatable cam and a needle that rotates with the cam."
10000049,0,"An applicator die for creating and applying laminarized ribbons of polymeric film to a target surface, such as but not limited to a surface of an automobile body component. In one embodiment, the protective film is an aqueous emulsion of polyvinyl acetate and is used to create a continuous peelable film to protect a surface. In another embodiment, the polymeric is polyvinyl chloride and it is applied to create an anti-chip coating. The applicator die has an internal supply gallery and an outlet slot of complex shape to emit a laminarized ribbon of polymer-based material that allows the material to be applied directly to the target surface without masking. A robot is used to control movement of the die. The die includes temperature control."
10000050,0,"A method for the manufacture of a fiber composite component with a base element, and with at least one ancillary element bonded to the base element. A reinforcement element is introduced in at least one bonding region of the base element or the ancillary element for purposes of developing a bonding surface for the ancillary element or the base element. A reinforcement element with fiber sections, the ends of which emanate from a bonding surface is provided. A fiber composite component is provided with a base element, in the bonding regions of which reinforcement elements are introduced, on the bonding surfaces of which ancillary elements are bonded with one such."
10000051,0,A method of manufacturing a three-dimensional object facilitates removal of the three-dimensional object from the platen on which the object was formed. The method includes rotating the platen from a horizontally level position to a position at an angle to the level position to enable gravity to urge the three-dimensional object away from the platen and inductively heating the platen to melt support material at the boundary of the object and the platen to release the three-dimensional object from the platen.
8087100,1,"A helmet mount for night vision apparatus wherein night vision goggles can be coupled and uncoupled to its power pack without the use of tools and wherein the power pack can be coupled and uncoupled to a helmet without the use of tools. When an aviator wearing a helmet with night vision apparatus so mounted, is ejected from his aircraft both the goggles and the power pack are released from the helmet."
8087232,1,"In an exhaust system of an internal combustion engine having a plurality of cylinders, a control valve is disposed downstream of a junction point of one of two exhaust passages of the engine, and a control valve and a catalytic converter are disposed downstream of a junction point of the other of the exhaust passages. The control valves of the two exhaust passages are controlled so that exhaust gas of all of the cylinders mainly passages the catalytic converter of the other exhaust passage during startup of the engine."
8087233,1,"A diesel engine includes: a PM filter provided in its exhaust passage; a fuel injection valve for performing post fuel injection in a cylinder of an engine body in addition to primary fuel injection, in order to supply fuel to the PM filter, to maintain its purification performance; an oil level sensor for detecting a degree of dilution of engine oil; and a first indicator lamp that is turned on to indicate that the engine oil needs to be changed when the degree of dilution of engine oil detected by the oil level sensor is equal to or greater than an allowable level. The vehicle diesel engine overrides the prohibition of the post fuel injection until a distance traveled by the vehicle after the indicator lamp is turned on reaches a predetermined distance."
8087234,1,"An exhaust gas purification controller for controlling bed temperature of a DPF, which is arranged in an exhaust system of an internal combustion engine, at a target bed temperature by supplying fuel to the internal combustion engine. The exhaust gas purification controller includes a control unit and a transitional state detection unit. The control unit, when controlling the bed temperature of the exhaust gas purification catalyst, learns a supply amount of fuel that allows for correction of a difference between the catalyst bed temperature and the target bed temperature in the present state and reflects a learned value obtained through the learning on the supply amount of fuel. The transitional state detection unit detects a transitional state of an exhaust gas flow to the DPF. The control unit restricts the learning when the transitional state of the exhaust gas flow is detected."
8087236,1,"An exhaust gas purifying system for an internal combustion engine includes a first exhaust passage (22a) and a second exhaust passage (22b) into which an exhaust passage (21) of the internal combustion engine is bifurcated. NOx storage reduction catalysts (23a, 23b) and particulate filters (24a, 24b) are provided in each of the exhaust passages (22a, 22b). Fuel is supplied from a fuel valve (32) when NOx is to be released from the NOx storage reduction catalysts (23a, 23b). At a timing when the supplied fuel attaches to the NOx storage reduction catalysts (23a, 23b), one of exhaust control valves, for example, a first exhaust control valve (26a) is temporarily closed so as to keep the air-fuel ratio of exhaust gas rich. When NOx is released from the NOx storage reduction catalysts (23a, 23b) next time, a second exhaust control valve (26b) is temporarily closed after the fuel is supplied."
8087253,1,"A method of operating a turbine engine, wherein the turbine engine includes a compressor, a combustor, a turbine, a plurality of successive axially stacked stages that include a row of circumferentially spaced stator blades and circumferentially spaced rotor blades, and a plurality of circumferentially spaced injection ports disposed upstream of a first row of stator blades in the turbine; the injection ports comprising a port through which cooling air is injected into the hot-gas path of the turbine, the method comprising: configuring the stator blades in the first row of stator blades such that the circumferential position of a leading edge of one of the stator blades is located within +/âˆ’15% pitch of the first row of stator blades of the circumferential location of the injection port midpoint of at least a plurality of the injection ports."
8087262,1,A process and device for abating air-borne particles during glass melt handling processes by using electrostatic precipitation. The invention is effective in abating both precious metal inclusions and non-metallic inclusions in the produced glass.
8087394,1,"A combustion chamber system, for use in connection with internal combustion powered fastener-driving tools, comprises a dual-level combustion chamber comprising first and second pre-combustion and main combustion chambers, and a dual-level rotary valve mechanism which is operatively connected to the dual-level combustion chamber so as to control the intake of the air/fuel mixture as well as the scavenging or purging of the exhaust gases or combustion products. The first and second pre-combustion and main combustion chambers are also separated by a plate having a plurality of apertures defined therein whereby multiple jets or flame fronts are defined throughout the combustion chamber system."
8087397,1,"An engine with a two vacuum sources is disclosed. In one example, a valve position is adjusted in when engine load is low and intake manifold pressure is low to arbitrate vacuum between the two vacuum sources. The approach may increase engine operating efficiency during at least some conditions."
8087403,1,"An electromagnetic PCV valve includes a valve seat, a valve element, a step motor for moving the valve element, and a housing that houses the valve seat, the valve element, and the step motor. When the valve element is moved by the step motor, a size (an opening degree) of a blow-by gas passage defined between the valve seat and the valve element is changed. The step motor is configured to selectively receive energization for moving the valve element and energization for holding the valve element in a fixed position. A heating apparatus of the PCV valve 1 includes a cover member and an output shaft that conducts heat generated in the step motor by energization to the valve element and the valve seat, and an electronic control unit (ECU) for conducting energization of the step motor to hold the valve element in the fixed position."
8087460,1,"A method for heating a subsurface formation using electrical resistance heating is provided. In one aspect, the method includes creating a passage in the subsurface formation between a first wellbore located at least partially within the subsurface formation, and a second wellbore also located at least partially within the subsurface formation. An electrically conductive granular material is placed into the passage so as to provide electrical communication between the first wellbore and the second wellbore. Electrically conductive members are provided in the first wellbore and second wellbore so as to form an electrically conductive flow path comprised of the electrically conductive members, the granular material, and a power source. An electrical current is established through the electrically conductive flow path, thereby resistively heating at least a portion of the conductive members which in turn heats the subsurface formation."
8087483,1,"A hybrid powertrain is provided that provides engine starting from an electric-only mode with a reduced torque load on the motor/generator. The powertrain includes an engine and a motor/generator, which may be a single motor/generator in a strong or full hybrid, but is not limited to such. The motor provides propulsion torque in an electric-only operating mode, and is configured to apply torque to a transmission input member. A first clutch is selectively engagable to connect the engine output member for common rotation with the transmission input member. An engine starting mechanism is provided that multiplies motor torque used to start the engine so that less is diverted from propelling the vehicle, enabling a smaller motor/generator to be used. A method of controlling such a powertrain is also provided."
8087534,1,A cryogenic storage tank having an inner vessel disposed within an outer vessel. The fluid flow lines that extend from the interior of the inner vessel to the exterior of the outer vessel have both corrugated- and non-corrugated portions. The corrugated portions advantageously facilitate the bending of the fluid flow lines into a desired orientation while the non-corrugated portions provide rigidity and stiffness for the fluid flow lines.
