patent_id,ai_dummy,patent_abstract
5520709,0," Alkyl ethers of sulfur containing hydroxyl-derived aromatics have been found to be effective as high-performance synthetic lubricant base stocks with superior catalytic thermal/oxidative stabilities, excellent antiwear and load-carrying properties, as exemplified by bisphenol sulfide (BPS) based products. These ethers are also highly useful in fuel compositions. "
5529893,0," Light-sensitive photographic element comprising a polymeric film base, a silver halide emulsion layer, and an antistatic layer comprising a low viscosity and highly sulfonated water soluble polyacetal (preferably obtained by reaction of a low viscosity polyvinyl alcohol and a sulfonated aldehyde), a hydrophobic binder selected from the group consisting of a water dispersible sulfopolyester and a latex polymer having hydrophilic functionality, and a polyfunctional aldehyde crosslinking agent. The antistatic layer may be present as a backing layer on the side of the base opposite the silver halide emulsion layer, as a subbing layer between the base and the emulsion layer in a single or double side coated photographic element, and/or as a subbing layer between the base and a different backing layer. "
5552606,0,"A variable filter arrangement wherein differently sized and shaped filters are automatically selected and installed from a collection of filters housed within a configuration for use with a radiation source. The line source is typically used for transmission scanning to collect attenuation correction factors. A line source is utilized in the preferred embodiment and a series of filters (e.g., differently sized ""bow-tie"" filters) are rotatably attached to a central junction so that a particular filter can be rotated into an installed position. When installed, the filter acts to attenuate the radiation emitted from the line source to reduce radiation emitted on an otherwise unobstructed area of a scintillation detector. Differently sized filters are advantageously used to accommodate differently sized patents and also to accommodate different unobstructed parts of a detector for different angles of rotation during an ECT transmission scan. The system includes processing intelligence to automatically select the proper filter given body contour (e.g., profile) information."
5606770,0," An air path for a vacuum cleaner, such as a stick type or broom type vacuum cleaner includes a first fan shell section having a first end at which is located a suction opening and a second end. A second fan shell section has a first end and a second end at which is located an outlet opening. An air outlet tube is located at the outlet opening of, and is of one piece with, the second fan shell section. The two fan shell sections are secured to each other in order to define a chamber between them. A suction fan is located in the chamber for drawing a suction at the suction opening and directing air through the air outlet tube. "
5612998,0," An integrated telephone interface circuit for driving a telephone line includes a line current sensor and a phase converter, both associated with an output stage connected to the telephone line. The circuit is equipped with a protection device against the generation of spurious signals including a comparator connected between the converter and the output stage, a control and monitoring circuit linked operatively to an output of the comparator, and a plurality of switches associated with the input side of the converter, as well as with the current sensor and the output stage. The switches are linked operatively to respective outputs of the control and monitoring circuit to reverse polarity of the line supply upon a predetermined threshold value for the comparator being exceeded. "
5673369,1,"A knowledge based computing system is authored using a directed graph presented to the author at an authoring time. The directed graph has one or more question nodes and one or more answer nodes. The question nodes and the answer nodes connected to one another on one or more paths by links between each of the question nodes and each of the answer nodes so that question nodes and answer nodes alternate as the path is traversed in a path direction so that a ""QA directed graph"" is created. Each question node associated with a question data structure and each answer node associated with a answer data structure that are populated with information accessed from the author using question and answer templates associated with respective question and answer nodes on the QA directed graph. After the expert system is created (authored) using the QA directed graph it can be run at a run time to provide and access information from a service user. The system has many applications particularly in the health care and teaching fields."
5731337,0," A compound of formula I ##STR1## in which: ring A is one of the five alternative multi-cyclic rings as shown wherein a dotted line adjacent to a bond indicates that a single bond or a double bond may be present at that position; X is nitrogen, oxygen or sulfur; R is hydrogen, lower straight or branched chain alkyl of 1 to 6 carbon atoms, or lower straight or branched chain alkenyl of 2 to 6 carbon atoms, a cycloaliphatic ring of 3 to 6 carbon atoms, phenyl optionally mono- or di-substituted with hydroxy, halogen, alkyl of 1 to 3 carbon atoms or alkoxy of 1 to 2 carbon atoms, or methylenedioxyphenyl; or a stereoisomer, or a pharmaceutically acceptable salt thereof. These compounds have .alpha..sub.2 receptor blocking activity and hence find use in the treatment or palliation of elevated intraocular pressure, non insulin-dependent diabetes, male impotence and obesity. "
5731667,0," In accordance with the present invention, a hybrid sequence start circuit is provided for operating a plurality of instant start lamps. The circuit utilizes two coils, a primary and a secondary, and an electronic switch to start a plurality of series-connected, instant start lamps in sequence. When the circuit is energized, the electronic switch causes open circuit voltage to be applied to a first lamp by placing a low impedance across the other lamps, causing the first lamp to strike. The first lamp then conducts current, causing a starting capacitor in parallel with a second lamp to be charged, eventually, causing the second lamp to strike. The current through the second lamp shunts current away from the switch, and when this current drops below a predefined threshold level, the switch opens, effectively removing both the low impedance and the starting capacitor from the circuit. "
5762215,0," A cap (1) for a container having a screw threaded opening comprising an inner part (3) in the form of a screw threaded cap, an outer part (2) the inner part (3) being axially displaceable relative to the outer part (2) and biased therefrom between an unlocking and locking position, resilient biasing means (17) between the inner and outer parts, a boss (6), and engagement means (15) adapted to engage with the boss upon (6) depression of the outer part (2), such that turning the cap will unscrew it from the container wherein one of the boss (6) or engagement means (15) is located on the top surface of the inner part (3) and the other is located on the inner top surface of the outer part (2). "
5764336,0," A crank mechanism for eyewear comprises a rigid, elongated member which extends across the front frame of the eyewear. Opposite ends of the crank mechanism pivotally connect to the front ends of the right and left temple members, respectively, and operates to move the temple members between their open and folded positions simultaneously with each other. "
5772475,0," A plug-in cable connector comprises an optional number of plate-shaped contact carrier modules that are provided with defining walls which partially close the duct-shaped chambers of the modules in a mirror-image fashion. In connection with the provision of a stop shoulder on a contact carrier module on one hand and the incorporation of half walls in the module carrier casing on the other hand, each of the modules may be individually inserted in an operative manner into the casing, forming a self-contained enclosed unit. "
5777889,1, An improved method of evaluating molecular structures using relativistic integral equations. The method transforms Cartesian non-relativistic integrals into relativistic integrals using a two-step process. A first step transforms two indecises of the non-relativistic integral equations into a plurality of intermediate equations. A second step transforms the plurality of intermediate set of integrals into relativistic integral. The relativistic integrals are then used to evaluate the relativistic behavior of the molecular structure. 
5816341,0," A hammer mechanism (14) for a rotary drill (10) comprises a hollow piston (18), a drive (15,26) for effecting reciprocating motion of the piston (18) towards and away from an end portion (35) of a rotatable output spindle (13) of the drill (10) and a ram (21) adapted to slidably locate in a hollow portion of the piston (18). In use, reciprocating movement of the piston (18) is transferred to the ram (21) and the ram (21) periodically strikes the end portion (35) of the output spindle (13), thereby providing the hammer action of the drill. The hammer mechanism (14) also comprises a plurality of guide pins (27,28) fixed in position relative to a housing portion (11) of the drill (10), the piston (18) being provided with a plurality of guide cylinders (23,24) each one of which is adapted to cooperate with a corresponding one of the guide pins (27,27) so as to guide the reciprocating motion of the piston (18). "
5844921,0, A hybrid circuit board capable of operating in a functional mode and a test mode includes macro block circuitry and non-macro block circuitry surrounding the macro block circuitry. The circuit board includes a test bridge circuit coupling the macro block circuitry to the surrounding non-macro block circuitry during the functional mode and for bypassing the macro block circuitry during the test mode. The test bridge circuit is responsive to a mode signal for isolating outputs of the macro block and for coupling the inputs of the macro block to isolated outputs of the macro block during the test mode. A mapping circuit maps the inputs of the macro block to the inputs of the non-macro circuit. 
5879334,0," The catheter includes a catheter hub at its proximal end having a pair of spaced apart squeeze grips radially extending from the catheter hub. The needle is connected at its proximal end to a needle hub. The needle hub has a circumferentially extending bump formed adjacent to its distal end. The needle and needle hub fit within a slide assembly comprising a tubular portion with a circumferentially extending groove formed therein and a radially extending fin extending from the outer surface of the tubular portion of the slide assembly. The bump of the needle hub mates in the groove of the slide assembly to allow rotation of the needle hub with respect to the slide assembly. However, the bump and the groove are dimensioned to prevent relative axial movement between the needle hub and the slide assembly. The fin on the slide assembly extends forward so as to be positioned between and extend beyond the pair of squeeze grips on the catheter hub. This arrangement allows the distal tip of the needle to be retracted into the catheter with a simple motion by the healthcare worker. "
5882749,0," A heat sealed, easy-opening and reclosable package, which comprises a packaging material comprised of a heat sealable base member material, and an elongate, multilayer, flexible, peelable and reclosable strip positioned between the surfaces of juxtaposed portions of base member material and comprised of an interior tacky adhesive layer, a first and second surface sealant layers, the strip including a rupturable layer proximate the tacky adhesive layer. The base member material is heat sealed together along and by means of the strip whereat the sealant layers of the strip are heat sealed to the base member. The heat seal has sufficient initial seal strength to remain closed during handling of the package and yet is manually readily openable and reclosable. The base member material can be heat sealed together by each sealant layer being heat sealed to the same base member heat sealable surface, or by one strip sealant layer being heat sealed to one base member heat sealable surface and the other sealant layer being heat sealed to another heat sealable surface of the base member or of a base structure, which can be a container or a flat base structure. "
5930832,1," A computer system includes a processor and a cache and memory management unit. The processor includes a means for retiring instructions in program order. The cache and memory management unit includes means for detecting when a translation has been evicted from a lookaside buffer and means for communicating eviction information to the means for retiring instructions in program order. The means for retiring instructions in program order includes means for holding a storage related instruction which causes a miss in the lookaside buffer or in the cache in a first pass of execution until the instruction becomes the oldest storage related instruction in program sequence and further includes means responsive to the eviction information for flushing all storage related instructions except the current storage related instruction. The system avoids the occurrence of misses in the buffer late in execution (e.g., PASS 2 or later), thus avoiding a necessity for complex recovery provisions. "
6001607,0," The invention provides a human growth-associated methyltransferase (GAMT) and polynucleotides which identify and encode GAMT. The invention also provides expression vectors, host cells, antibodies, agonists, and antagonists. The invention also provides methods for treating or preventing disorders associated with expression of GAMT. "
6070011,1," A compile method employs loop fusion to improve execution of a first loop and a second loop in a code sequence. A compile method initially peels one or more loop iterations from one of the loops to cause each of the loops to exhibit an equal number of loop iterations. Thereafter, an attempt is made to fuse the first and second loops, upon a condition that the resulting fused loop produces a same computational result as would be produced if the first loop and second loop were not fused. If the condition is not met, a loop reversal is performed on one of the loops and a fusing action is again attempted; if the attempted fusing action of the loops does not fulfill the condition, a loop reversal is performed on the other loop and a fusing action is again attempted. The combined loop peeling/loop reversal actions provide a higher probability of an ability to fuse the loops than otherwise. "
6148213,1," A cordless telephone provides for increased features available at a portable unit that have heretofore been available only at a base unit which combines a cordless telephone fixed station and telephone answering device. The cordless telephone includes a call screening feature which allows a user at the portable unit to monitor incoming messages received over telephone lines as they are being recorded at the telephone answering device without the user having to configure the portable unit in any way during actual receipt of the message. A built-in loudspeaker is incorporated into the portable unit so that the user may easily listen to the incoming messages. Once receipt of the incoming message is completed, amplifier circuitry driving the loudspeaker is turned off. The cordless telephone also includes a caller-ID feature which informs the user at the portable unit of the identity of a preidentified calling party before the call is answered. This operation is achieved by the user entering into a memory table in the telephone each one of a plurality of desired telephone numbers for subsequent access and comparison when a caller-ID number is received from a calling party. The user also associates with each telephone number a voice message which is subsequently generated in the loudspeaker in the portable unit in response to a favorable comparison between the caller-ID signal and the stored telephone number. "
6192337,1," A method of training at least one new word for addition to a vocabulary of a speech recognition engine containing existing words comprises the steps of: a user uttering the at least one new word; computing respective measures between the at least one newly uttered word and at least a portion of the existing vocabulary words, the respective measures indicative of acoustic similarity between the at least one word and the at least a portion of existing words; if no measure is within the threshold range, automatically adding the at least one newly uttered word to the vocabulary; and if at least one measure is within a threshold range, refraining from automatically adding the at least one newly uttered word to the vocabulary. "
6195142,0," The invention presents an organic electroluminescence element excellent in long-term durability and reliability, a manufacturing method excellent in mass producibility, and a display device using the organic electroluminescence element. Accordingly, to prevent growth of dark spots in the luminous layer by completely shutting off invasion of moisture or oxygen into an anode or an organic thin film layer, a shield material is adhered to an element by using low melting glass or low melting solder. To fuse the low melting glass or low melting solder used for this purposes, laser or ultrasonic wave is used. The surface of the element is sealed with a protective film in a film thickness of 3 microns to 30 microns, or a protective film composed of two-layer laminate film of insulating compound layer andmetal film. According to these inventions, a highly reliable organic electroluminescence element small in changes in the time course suchas growth of dark sports and lowering of luminance is obtained. "
6219645,1," A method and system for simultaneously controlling a plurality of automatic speech recognition (ASR) systems within the working volume of a room, or for controlling multiple devices as a single unified ASR system. Multiple microphones feed a signal processing system which determines or estimates both a user's location and a user's orientation within a room as the user issues voice commands, and further determines the microphone providing the best signal. Diversity noise cancellation may be further applied to the microphone signals. Based on the apparent direction the user is facing, the system may then enable one of the ASR systems for voice command recognition and/or execution of voice commands. The invention reduces the number of false command executions and improves the performance, accuracy, and ease of use of voice control. "
6233822,0," A method for repairing the shroud surfaces of a gas turbine engine to provide corrosion and oxidation resistance of the shroud segments while also restoring the dimensional integrity of the shroud segments. The method entails removing the oxidation and corrosion products from the shroud segment, removing preexisting coating materials, applying a material compatible with the shroud segment substrate material, machining the surface, applying a corrosion-resistant, oxidation-resistant and rub-compliant material to the shroud segment using a HVOF process, machining the shroud segment to preselected dimensions and applying an aluminide coating for improved oxidation and corrosion resistance of the repaired surfaces. "
6291134,0," There is described a method of preparing a lithographic plate which comprises coating on a lithographic support having a hydrophilic surface a layer of a radiation sensitive coating, imaging the coating then acting on the plate while on the press with aqueous fount solution to remove the unexposed areas of the coating, to reveal the hydrophilic surface of the plate and to leave an ink receptive image, wherein the radiation sensitive coating comprises a diazo salt of formula (I): ##STR1## wherein R.sub.1 is an anion, R.sub.2 and R.sub.3 represent optional substitution, R.sub.4 is --N-- and --S-- and R.sub.5 is a group which, after exposure of the plate renders the residue of the diazo salt oleophilic and fount solution insoluble. "
6300409,0," Polymer compositions which are useful to improve water repellency and durability in fiber, nonwoven, textile, and paper compositions are disclosed. A method of improving water repellency and durability in fiber, nonwoven, textile, and paper compositions is also disclosed. "
6349404,1,"A computer system is disclosed which has data contained in a plurality of objects described by a model representing host-based application assets. The model is use in the development of business-centric applications. The computer system comprises a data storage means for storing said plurality of objects in the computer system and means for populating the plurality of objects with a specification for a particular host-based asset. The model comprises a hierarchy of classes defined for the computer system, and includes in part a user class representing properties unique to a particular user; a user access application class representing a privilege level that a user has to a particular application; an application class encapsulating a list of host-based assets and a list of users who have access to those assets; a common file class encapsulating those hostbased assets that belong to an application type; and, a database file class encapsulating a generalization of all persistent host-related data."
6365474,0,"A transistor (12) and method of making an integrated circuit (10) uses a chromium based sacrificial gate (22A) to align, dope and activate source and drain portions (36, 38, 52, 53,) of the transistor. The transistor is subjected to a high temperature to activate the source and drain, which would damage a high permittivity gate dielectric. The sacrificial gate is removed by etching with ceric ammonia nitrate. A high permittivity gate dielectric (72) and a final gate electrode (74) are formed over a channel (30) of the transistor. Electrodes (76, 78) are formed for coupling to the source and drain."
6368354,0,"A modular acetabular bearing assembly which minimizes or eliminates the production of wear debris resulting from relative motion at the interface between the acetabular shell and bearing insert portions of the modular acetabular bearing assembly. The modular acetabular bearing assembly includes an acetabular shell and composite bearing insert. The composite bearing insert includes an endoskeleton and a polymer layer which is preferably molded into and locked within the endoskeleton. The endoskeleton is configured to be locked within the acetabular shell. As such, the modular acetabular bearing assembly, and its method of manufacture, eliminate all contact between any polymer surface on the composite bearing insert and any metal surface on the acetabular shell. The modularity of the assembly facilitates the interchangeability of various composite bearing inserts within an acetabular shell which is fixed to the acetabulum of a patient. This provides for various advantages, including the ability to use a central screw to fix the acetabular shell to a patient."
6370392,0,"Various methods for effectively detecting the discontinuous transmission (DTX) mode are provided both from the physical layer perspective and from the medium access layer (MAC) perspective. The DTX mode transmission on reverse supplemental channels is detected by comparing a transmitted and a received power ratio of a pilot channel and a supplemental channel. For a reverse link communication, the DTX mode transmission is detected on dedicated control channels. The DTX mode transmission on a forward link supplemental channel can also be detected by monitoring both the transmitted and received power ratios of a primary power control channel and the supplemental channel. As an alternative to or in combination with the above mentioned methods, in order to monitor the DTX mode, a new network parameter is introduced which requires a change in the IS-2000-3 standard. This parameter acts as an indicator signaling to a receiver, from the MAC layer, that the transmitter has entered into the DTX mode."
6423576,0,"A thermally enhanced package for an integrated circuit, the integrated circuit having a surface with bond pads formed thereon, includes a heat sink structure attached to a central region of the integrated circuit surface inward of the bond pads. The package further includes a substrate attached to the heat sink structure. The heat sink structure includes a heat sink and first, second adhesive layers between the heat sink and the integrated circuit, substrate, respectively. The heat sink enhances heat transfer between the integrated circuit and the substrate. Further, the first, second adhesive layers decouple any difference in thermal expansion between the integrated circuit, the heat sink and the substrate."
6450304,0,A damper includes a piston that carries a relatively compact control valve for controlling fluid flow through the piston. The control valve provides a variable amount of damping by regulating damper fluid flow between the extension chamber and the compression chamber of the damper during extension and compression strokes. Pressure regulation across the piston is controlled through a flow path as determined by the control valve. The damping force of the damper varies depending upon the loading conditions of the vehicle. The control valve is air pressure actuated to adjust the damping force and control the flow of fluid in the flow path.
6457029,1,"A method and system for organizing documents in a database into categories within a single view. The method comprises the steps of providing a database having one or more documents storing data in one or more fields; providing a view having a column formula, said column formula being adapted to run only once upon selecting said view; coding a plurality of statements, each said statement referencing data in said one or more documents storing data one or more fields; concatenating said plurality of statements to form said column formula; and selecting said view to organize and display said one or more documents in categories."
6466549,0,"A method and apparatus for providing broadcast discovery in a network having one or more 1394 buses is disclosed. Devices connected to a bus generate advertised discovery information upon either a reset of the bus or a receipt of a solicit packet sent to all devices in the network by a discovering device. The devices generate the advertised discovery information upon the receipt of the solicit packet if the solicit packet contains either a global bus identifier or a bus identifier associated with the bus to which the devices are connected. The discovering device receives the advertised discovery information sent by the devices. Based on the advertised discovery information, the discovering device maintains a list of devices and services included within the devices."
6515895,1,"A non-volatile, bistable magnetic tunnel junction (MTJ) register cell includes first and second magnetic tunnel junctions connected for differential operation. The first MTJ is coupled between an easy axis line and an output terminal and the second MTJ is coupled between an inverse easy axis line and an inverse output terminal. A hard axis line is coupled magnetically to the MTJs and an enable line is coupled to the MTJs for enabling and disabling the differential operation. The MTJ register cell can be connected as a PIPO non-volatile register, a right or left non-volatile shift register, or a multi-bit bi-directional non-volatile shift register."
6519505,0,"A system for dispensing a predetermined amount of paper product to a customer based on a food order inputted into a business machine at a food service establishment. The system includes a business machine, such as a cash register, linked to a powered paper product dispenser. Each menu item available at the establishment is assigned a number that represents the total number of paper product sheets that a normal customer may need while consuming the item. This number is stored within a memory. A microprocessor contained within either the dispenser or the business machine linked to the dispenser retrieves a command from the memory when a food item key is pressed and provides a signal to the dispenser motor which in turn rotates a feed roller within the dispenser so that the predetermined number of paper product sheets are dispensed to the customer. The system controls the amount of paper product provided to the customer in order to reduce waste."
6534879,0,"A semiconductor chip includes a main surface having a plurality of sides, a plurality of signal electrodes formed on the main surface along the sides, the signal electrodes along one of the sides being disposed in a first area having a first length. The chip further includes a power supply electrode formed on the main surface along the sides, the power supply electrode along the one of the sides being disposed in a second area having the second length, which is longer than the first length, between the one of sides and the signal electrodes."
6614428,1,"A space-time level of detail coder converts a time dependent geometry stream into a hierarchical structure, including levels of detail in the space and time dimensions, and expansion records. The expansion records specify how to reconstruct a mesh from deltas representing differences between levels of detail. For low bandwidth transmission, only selected expansion records need be sent depending on the appropriate level of detail of the object being represented for the current time sample."
6621932,1,"A video image decoding and composing apparatus includes: a composing information memory for storing composition information; an arbitrary shape object decoding means for decoding a coded signal of an arbitrary shape object video image; a shape memory for storing a shape signal which is decoded by the arbitrary shape object decoding means; a texture memory for storing a texture signal which is decoded by the arbitrary shape object decoding means; a rectangular shape object decoding means for decoding a coded signal of a rectangular shape object video image; a video image memory for storing a video image signal which is decoded by the rectangular shape object decoding means; a composing means for composing the shape signal stored in the shape memory, the texture signal stored in the texture memory, and the video image signal stored in the video image memory, in accordance with the composition information stored in the composition information memory; a position indicating means for indicating a position in the composed image which is output from the composing means; and a shape selecting means for selecting only the shape signal according to the instruction from the position indicating means."
6629782,0,"A tunable fiber optic connector and method for assembling a tunable connector. The connector may include a ferrule mounted to an optical fiber and a hub. A front housing of the connector includes a bore for receiving a rear housing, an anti-rotation seat configured to engage the hub, and a cavity coupled to the anti-rotation seat. A length of an elongated cylindrical rear portion of the hub is sized so that the anti-rotation portion of the hub can be pushed completely into the cavity and rotated to tune the connector when the rear housing is partially inserted into the front housing, and an end of the elongated cylindrical rear portion of the hub abuts the rear housing so that the anti-rotation portion of the hub cannot be completely pushed back into the cavity and rotated when the rear housing is completely engaged with the front housing."
6635928,0,"A CMOS device formed with a Silicon On Insulator (SOI) technology with reduced Drain Induced Barrier Lowering (DIBL) characteristics and a method for producing the same. The method involves a high energy, high dose implant of boron and phosphorus through the p- and n-wells, into the insulator layer, thereby creating a borophosphosilicate glass (BPSG) structure within the insulation layer underlying the p- and n-wells of the SOI wafer. Backend high temperature processing steps induce diffusion of the boron and phosphorus contained in the BPSG into the p- and n-wells, thereby forming a retrograde dopant profile in the wells. The retrograde dopant profile reduces DIBL and also provides recombination centers adjacent the insulator layer and the active layer to thereby reduce floating body effects for the CMOS device."
6701106,0,"A cartridge detachably mountable to an image forming apparatus, includes: a developer container; and a pressure regulating device for regulating the air pressure in the developer container. The pressure regulating device includes a hollow portion having a vent and an elastic filter being compressed into the hollow."
6746899,0,"Stiffeners for tapes, films, or other connective structures, which are configured to be secured to a semiconductor device component, such as a semiconductor die or substrate, by tape-automated bonding processes, are fabricated by stereolithographic processes and may include one or two or more layers. The stiffeners are configured to prevent torsional flexion or bending of the connective structure to which they are to be secured. The stiffeners may reinforce sprocket or indexing holes in connective structures. The stiffeners may include apertures through which intermediate conductive elements or other structures secured to the connective structure may be exposed or protrude. The stereolithographic method for fabricating stiffeners may include use of a machine vision system that recognizes the position and orientation of one or more connective structures on which at least an element of each of the stiffeners is to be fabricated so that the application of material thereto may be controlled"
6766059,1,"A foreground extracting section extracts the foreground of each of the first to the N-th frames, and a foreground-accumulated-image configuration section configures a front accumulated image obtained by overlapping the foregrounds of the first to the N-th frames viewed from the future side and a rear accumulated image obtained by overlapping them viewed from the past side. A learning section uses the front accumulated image and the rear accumulated image to obtain prediction coefficients used for predicting the foreground of each frame, and a multiplexer outputs the prediction coefficients, the front accumulated image, and the rear accumulated image as the result of encoding of the foregrounds of the first to the N-th frames."
6802834,0,"An absorbent article is constructed with a discontinuous absorbent core strengthened by a reinforcing scrim material embedded in the absorbent material of the core. The scrim facilitates maintenance of the integrity of the core in use although the core may be weakened by the provision of ventilation openings or other discontinuities. The scrim also helps to keep the proper location of the absorbent core within the article. Moreover, use of scrim or other reinforcing material facilitates the manufacture of the absorbent core and of the absorbent article."
