firm_id,bus_description,esg_dummy
f00049,"Today's consumer brands require shopper focused and marketing campaigns that are engineered to a specific brandâ€™s DNA. To achieve this, Viz leverages several in-house and home grown technology platforms that combine A.I., social and computer science, and massive consumer datasets to deliver highly effective and measurable results. Viz's unique specialization and focus on the micro-influencer industry affords it the opportunity to partner and collaborate with traditional PR and marketing agencies.",0
f00050,"Road9 Media is a media company that delivers Digital Media (Web solutions & Multimedia materials), Branding (Logo design & corporate identities) & Print Media (Advertisements & Publications).  We work from Maadi, Cairo. Our focus is on meaningful quality and personal service against a competitive price. Our vision is 'Investing in People'. One of our priorities is providing our people with training and a mentoring program to help them grow as professionals. We want to invest in a meaningful relationship with our customers in order to offer you good products and to help us to grow and constantly improve our standards. Because people are important to us. we use high ethical standards. To make this world a better place we start with ourselves. We play by the rules. Honesty and care for others are an essential part of how we work. We strive for excellence in our work and take pride in what we do. In our web designs, communication and usability come first. And of course, we enjoy adding some beauty. To create usable and beautiful web design can be quite a challenge but we think it is worth the effort. Finally, we value God's creation and therefore strive to make sustainable use of it. This is noticeable in our use of energy and materials. The hosting provider we most work with has a ''green label''.",0
f00051,"3T Ratkaisut, the private OHS expert company Combining expertise and the newest information technology. E-learning, HSEQ sotfware solutions.",0
f00052,PÃ©nÃ©lope Groupe is a human resources agency.,0
f00053,"Positive Coating SA is distinguished by the development of innovative solutions in the field of surface treatments based on PVD ( Physical Vapor Deposition ) and CVD ( Chemical Vapor Deposition ) technologies. The main activity is decorative type coatings for luxury goods (metal, ceramic, glass and plastic).",0
f00054,Orchid Internet Holdings (OIH) is an Indonesian holding company based in Jakarta that invests in and develops innovative online properties through its in-house team of ICT professionals. OIH has invested in over 10 online properties across Asia and developed for its own account several independently branded online properties with a focus on Content Driven and E-Commerce sites geared towards the global market. OIH also owns a full-fledged SEO agency as well as a graphic design lab.,0
f00055,"NimbleUser focuses on empowering professional and trade associations, whose members and staff strengthen the collective voice, leadership and educational programs which drive change and improve our society.",0
f00056,"Duco is a data engineering technology company that provides self-service data engineering in the cloud. The company empowers users to normalize, validate, and reconcile any type of data on demand. Duco uses computer science to solve the world's reconciliation problems through its software Duco Cube. Their customers include international banks, brokers, exchanges, asset managers, hedge funds, administrators, service providers, and corporates. Duco provides innovative technology that enables financial institutions to normalize, validate and reconcile any type of data in Ducoâ€™s cloud, providing firms with on-demand data integrity and insight. Their SaaS solution is used by some of the largest companies in the world, including international banks, exchanges, asset managers, hedge funds, administrators and service providers. Headquartered in London, with offices in New York and Luxembourg, Duco serves clients throughout Europe, North America, Africa, Asia, and Australasia.",0
f00057,"China Aviation Oil (Singapore) Corporation Ltd (CAO) is a Singapore-based physical jet fuel trading company. The Company, through its subsidiaries, is engaged in trading in aviation oil and other petroleum products, and investment holding. The Company operates through three business segments: Middle distillates, Other oil products and Investments in oil-related assets. The Middle distillates segment is engaged in supplying and trading of jet fuel and gas oil. The Other oil products segment is engaged in supplying and trading of fuel oil and petrochemicals products.",0
f00058,Promisope (í”„ë¼ë¯¸ì†) is a Korean personalized social shopping platform that focuses on cost minimization. It was launched in May 2013.,0
f00059,"eNest services has a rich portfolio of 200+ customers across various industries. They provide customized software solutions in technologies like Microsoft .net, Java, PHP, Drupal, Word press, CRM, Mobile apps and many more. They believe in attaining the best results by going beyond the paradigms of conventional development services.",0
f00060,"Millennium International Technologies, Inc. (MIT, Inc.) was founded in January of 1998. The company was established to serve the needs of the Electric, Gas, Water, and Telephone Utility Companies in their efforts to build and operate Geographic Information Systems. MIT, Inc. has been extremely successful at delivering high quality products and services to this market. MIT, Inc. was founded and built by technical experts, based on the idea that they could better serve customers by streamlining the consulting organization to deliver products and services at a reasonable cost. MIT, Inc. focuses on delivering effective solutions to the issue at hand. When working on a project, MIT, Inc. leverages the expertise of the client as much as possible in order to deliver the desired results and keep costs as low as possible. MIT, Inc.'s philosophy is that no one understands the needs of the client better than the client does. Effective channels of communication are essential for a successful project. Goals and requirements are established early, and iterative interaction with client-side management and SMEs (subject matter experts) during the development process prevents misunderstanding and wasted effort. They take a great deal of pride in their ability to put together an accurate bid and bring in the required results at or below the initial estimate. MIT, Inc. is built upon hard work and trust. Their growth in the industry and continuing profitability is a testament to long-term relationships with clients whom they have never let down.",0
f00061,"ImmersiveLeaks is a technology media company, dedicated to immersive technologies , smart gadgets and all other things that are shaping up the future today. We are proud to be working on AR, VR and MR and we take it as our responsibility to spread the message , educate brands, train and tutor students about the game changing technologies. We are currently building a exhaustive network of technology experts, who are pioneers in their tech field, to form a Centre Of Excellence who will be available for service or consultation. We are also excited about our on-going project to bring immersive tech start-up companies, people and investors together. As a company we are planning to organise tech meetups, geek clubs and events online worldwide, serving as community platforms for industry conversation and collaboration. We are very excited to be part of knowledge sharing modules that will fuel the future tomorrow. To AR/VR/MR companies out there: If you think you are working on something cool and innovative, please write to us and we will cover a complete article on your work and do our part in spreading the message to the world. Godspeed !",0
f00062,"The District Ventures and IBM Innovation Space is an innovation accelerator founded by Arlene Dickinsonâ€™s District Ventures and IBM Canada.  Its unique programming and demand-driven innovation model with large enterprise sets them apart and creates an environment where entrepreneurs and large enterprise clients build relationships, collaborate on real world challenges, grow, and excel. The District Ventures and IBM Innovation Space is not simply an accelerator â€“ it is platform for a smarter, more efficient and more entrepreneurial business environment in Canada.",0
f00063,"Park Place Technologies is an IT company that provided organizations around the globe with post-warranty maintenance and support solutions.  It also offers a smarter way to monitor, support, and optimize their digital infrastructures. The company's automated monitoring platform, which integrates its exceptional 24/7 global customer service and advanced engineering through a single pane of glass, to deliver immediate and intelligent responses to maintenance needs.",0
f00064,"Corpura, is that it provides AMS with another platform technology for delivering actives/anti-microbials to prevent infection and help accelerate wound healing utilising the Groupâ€™s R & D capability and intellectual property portfolio.",0
f00065,Full Service Renovation Company. 27 Years Local Experience.  Load bearing wall removal. Beam replacement. Structural repairs & expansions. Demolition - restoration - add ons - covered structures.,0
f00066,"The website of the Electrical Engineering Department at UCLA. Browse around and you will learn about Their pursuit of excellence in all aspects of the academic enterprise. You will learn about Their up-to-date courses covering topics across the entire spectrum of the electrical engineering discipline, about faculty that are leaders in their fields and pursuing cutting-edge research programs, about graduate students working on challenging projects, and about undergraduate students pursuing their education in a research and education environment that is dynamic and forward looking.",0
f00067,"Mitiga Solutions is a spin-off of the Barcelona Supercomputing Center, a world renowned institution with over two decades of experience in developing and implementing models in the fields of geophysics, volcanology and atmospheric science. Their main focus is to develop and commercialize solutions capable to evaluate and manage volcanic hazards, helping clients across multiple industries to improve their risk management.  Atmospheric dispersion of hazardous substances (e.g. volcanic ash) influences many economic markets and poses a variety of problems to the aviation industry. The presence of airborne volcanic ash at low and jet-cruise atmospheric levels compromises the safety of aircraft operations and forces re-routing of aircraft to prevent encounters with volcanic ash clouds. Past volcanic events have shown the difficulty to access to atmospheric hazard dispersal information useful for Air Traffic Management (ATM).",0
f00068,"High expertise in successfully developing Mobile Applications, Web Apps, Websites, Games & Server management.",0
f00069,BPM Capital is a provider of mezzanine financing in the Baltic region and Poland with an aim to support experienced management teams.,0
f00070,"KliknClean is a mobile and web app powered marketplace that allows you to book cleaning services for your home, office, shophouse and restaurant in Indonesia. Our platform connects customers with qualified cleaners to provide affordable and efficient cleaning services according to KliknCleanâ€™s strict quality standards. Our services include general cleaning with disinfectant, fogging disinfectant, pest control, hydro cleaning, wet vacuum, deep cleaning, AC cleaning, ironing, car wash and crystallization of marble/granite.",0
f00071,"The company name Mineheart was inspired by the Shakespearian quote: ''Mine eye and heart...'' to symbolise their dual passions; love for tradition and eye for contemporary design which is combined in often surprising and delightful ways within the Mineheart collection. â€œThe idea behind Mineheart is to create a playground for creativity and discovery, where art meets design, and poetry meets industry.  We try to inject a sense of wonder into everyday objects and spaces around us, telling stories and creating things that are truly surprising",0
f00072,"Refined Energy invests in and developments oil and gas projects in order to realize profitable income streams.  They are currently focused on drilling shallow oil and gas wells in-and-around southern New York in an area historically rich in oil and gas production.  Refined Energy has developed their strategic partnerships, contracts and business framework to mitigate risks inherent in the oil and gas industry, while also maximizing potential profitability for their investors.  A few key attributes of Refined Energy include:  1) Ownership interest in soon-to-be producing oil and gas wells with impressive log reports.  2)  Almost $500,000 of invested capital through their first offering round and capital contributions.  3) Access to over 1000 leased acres in southern New York with proven oil and gas reserves, which additionally are located near oil producing land held by a major oil company.  4)  An agreement with an experienced driller/operator, whose President has been in the drilling industry for almost 50 years.  5) An incentivized driller/operator who shares in the expenses of the drilling and operations of the wells.  6) A negotiated ''''turn-key'''' price for the wells, insuring unexpected expenses do not arise in the drilling process.  They are seeking to raise $450,000 to complete additional wells on the leased acreage.  Their projections indicate each well's production will yield a return on investment within 9-18 months (based on production projections and current oil prices).  They are accepting investments starting at $50,000.",0
f00073,"Brightpath Capital Partners, LP (â€œBCPâ€) invests in talented management teams and high-growth businesses, creating jobs, wealth and sustainable environments in the communities where they work and live. They provide innovative investment solutions rooted in in-depth research and a disciplined investment process. BCP is focused on generating both economic and social value in the San Francisco Bay Area, California and the Western United States.",0
f00074,"Requisite is a provider of Spend Data Visibility (SDV) technology that enables Spend Management and Master Data Management, initiatives that allow executives to identify significant cost savings across their companies. The company's technology and services help global manufacturing firms and other large organizations transform previously unusable data into consolidated, harmonized and searchable information visible across dispersed enterprises. The solution is uniquely engineered to make data visible, addressing the specific, more complex challenges of managing and finding strategic materials associated with discrete and process manufacturing.  Established in 1993 and headquartered in Westminster, Colo., with operations in Toronto, London, and Walldorf, Germany, Requisite's tools and services are deployed in more than 15 countries. Requisite's solutions have been adopted by leading corporations including Reuters, Air Products, the UK's Royal Mail Group, BASF, Graybar, Union Bank of California and Marathon Ashland Petroleum among others. Requisite is partnered with leading providers of e-business applications and services including SAP, Atos Origin (Europe), Oracle, ICGC, and Mitsui (Japan).  Requisite and Atos Origin, one of the largest international information technology (IT) services companies, provide product content solutions to large discrete and process manufacturing organizations. The two companies jointly provide global companies supplier enablement and content cleansing services, content management tools and technology, as well as large-scale integrated business outsourcing services in Atos Origin's four largest territories: France, the Netherlands, the United Kingdom and Germany.  A privately held company, Requisite Technology has attracted top tier venture capital investors. The company has received funding from Mohr, Davidow Ventures; Sequel Venture Partners; Trinity Ventures; Millennium Group; Bernard & Company; JPMorgan Partners; Liberty Venture Partners; Sumitomo Corporation; Corporate Express. SAP AG and Oracle Corporation are also significant investors.",0
f00075,OpenCard Sp. z oo is a operator of loyalty programs for gastronomy.,0
f00076,"NviroCrop is provides agricultural services in Southern Africa. It offers agriculture consulting services, including grain inspection, fertilization suggestion, and problem investigation services to produce agricultural products; and laboratory services, including soil/leaf, water, and fertilizer testing services.",0
f00077,"Southern Canned Products is a manufacturer and distributor of juice-based drinks and products. SCP is a leading South African supplier of a wide range of customised industrial fruit-juice products to major brand owners in South Africa, and to another 13 countries in Africa and the Middle East. We source consistently top quality fruit juice concentrate through a worldwide network of fruit processors.  Recipes are developed to the specific requirements of individual customers.",0
f00078,"The Bunker delivers Ultra Secure Managed Hosting, Cloud Computing, Colocation, and Outsourced IT services from within Europeâ€™s most secure data centres.   Both data centres, are outside the M25 yet within easy reach of London, are military-grade nuclear bunkers purpose built to house the UK's air defence systems. The Bunker runs 24/7/365 - NOC monitors systems both nationally and internationally and is staffed around the clock by fully background checked system and network engineers and security staff. The Bunker is ISO 27001 accredited and PCI DSS certified and follows ITILv3 best practice and PRINCE2 project management standards.  Clients are organisations in the private, public and systems integrator business sectors who value Ultra Secure service provision.",0
f00079,DAESHIN TECHGEN specializes in developing and producing thermally conductive products based on functional materials.,0
f00080,"Intellectus Partners, LLC is a financial service company that specializes in wealth creation, and preservation services. The Company offers investment consulting and management services, as well as manages client investment portfolios on a discretionary and non-discretionary basis. Intellectus has a unique focus on Entrepreneurs and has a focus on Venture & Entrepreneurial Advisory. The firm is a very active investor in disruptive technologies with a particular focus on Fintech-specifically focused on the convergence of Artificial Intelligence & Blockchain, AI at large and New Space. It helps their clients address key issues of creating and preserving self-made wealth, spanning a lifecycle of needs, from formation through impact investing to address the needs of entrepreneurs and executives.",0
f00081,Adavale Holdings Pty is a mineral exploration company for salt and potash.,0
f00082,"MontaFesta brings together the best local suppliers of products or services needed for children's party. Through the application the quantity of the products of the party will be calculated according to the number of guests, and for each category (Buffet, Decoration, Toys, Cakes, Animation) it will be possible to select a local supplier to make the party feasible. The local suppliers can be chosen in minutes according to the evaluation carried out by the users of the montafesta community and also by the price of the services, bringing to the organizer of the party the tranquility that is paying a fair and market price, besides being able to authorize the payment of the supplier only at the time of delivery.",0
f00083,"Carclo plc is engaged in the supply of fine tolerance, injection molded plastic components, mainly for medical products.",0
f00084,"Alpha Sim Technology has been in business since 1991. They specialize in software applications for the process (chemical, petrochemical, and power) industries. Their software is customized for your needs. Their services included dynamic process simulations, market optimizations, and safety training. Alpha Sim Technology uses process simulation to provide analysis for following applications: - Simulation for operator training - Simulation for control system design - Simulation for emergency startup and shutdown They provide also evaluate emerging technologies (biofuels or alternative fuels) for market penetration.",0
f00085,"Panel Systems has four decades of experience in manufacturing and fabricating a wide range of sheet and insulation materials to suit customer requirements.  Operating from three manufacturing bases in Sheffield, the company has three specific areas of expertise:  Our Architectural and Composite Panel division manufactures structural panels using 2-part polyurethane adhesives",0
f00086,"Preventing drowsiness & drug related accidents.They are a group of people who are committed to making these accidents obsolete. Lets prevent material loss, environmental damage and human suffering.",0
f00087,"Sotec Ingenierie is offers transport infrastructure consulting, construction, and engineering services.",0
f00088,"Molins PLC is an engineering and services company, provides packaging solutions and related support services and systems primarily to the pharmaceutical, healthcare, food and beverage, and nicotine delivery sectors worldwide. The company operates in two segments, Packaging Machinery, and Instrumentation & Tobacco Machinery. The Packaging Machinery segment develops production and packaging machinery; and designs and manufactures cartoning machinery, case packers, and end-of-line and robotic packaging solutions, as well as provides projects involving in design and integration of packaging systems.",0
